bank_name,txn_id,amount,hour,day_of_week,is_weekend,device_risk_score,location_risk_score,user_behavior_score,outcome
SBI SAVINGS,TXN7428141,3988.0,23,6,1,0.7209399242521293,0.3080607918523892,0.5425402305548993,1
KOTAK SAVINGS,TXN9687994,48405.0,0,3,0,0.6689240596630996,0.8641675650719031,0.23018526824155527,1
AXIS SAVINGS,TXN4141776,56492.0,13,4,0,0.883494022266259,0.7477187738974139,0.9530718470239532,1
KOTAK SAVINGS,TXN6314624,10493.0,20,6,1,0.2684748568901568,0.4852798742763157,0.3726868670940493,1
HDFC SAVINGS,ABC7513023,82075.0,9,1,0,0.3225507642386005,0.8486697949246744,0.13662133144202881,0
KOTAK SAVINGS,TXN7882937,29593.0,23,4,0,0.08159418040024036,0.005184862773986776,0.6278944149486361,1
AXIS SAVINGS,TXN-1096161,99158.0,18,0,0,0.1550416167277442,0.9818408883105311,0.8389335020693633,0
SBI SAVING,TXN9927141,15339.0,4,0,0,0.8278690037875887,0.2715429158197419,0.9652518303907698,0
KOTAK SAVINGS,TXN5243901,39735.0,7,3,0,0.1327454222429698,0.969536867114159,0.7145951041799521,1
ICICI CURRENT,TXN1523286,32218.0,20,5,1,0.8359801205122058,0.695974206093698,0.4089529444142699,1
SBI SAVINGS,TXN6568703,20057.0,7,4,0,0.27993389694594284,0.9548652806631941,0.7378969166957685,1
KOTAK SAVINGS,TXN7131883,69043.0,4,5,1,0.014393488629755868,0.11607264050691624,0.04600264202175275,1
AXIS SAVINGS,TXN6697519,35248.0,20,6,1,0.3463043210894008,0.4646738129396114,0.6497736826427634,1
KOTAK SAVINGS,TXN-4485536,4612.0,15,6,1,0.9442515971251674,0.8671989335550038,0.6364035974460113,0
UNKNOWN,TXN5346880,93611.0,4,3,0,0.38610263780077425,0.9611905638239142,0.9053506419560637,0
KOTAK SAVINGS,TXN9802701,92659.0,17,2,0,0.3365542148887265,0.6557226353807422,0.38539662096556504,1
HDFC SAVINGS,TXN4297571,38514.0,12,2,0,0.877472013527053,0.7350710438038858,0.8034809303848486,1
HDFC SAVINGS,TXN9179703,83043.0,15,3,0,0.37201808579278317,0.7764129607419968,0.34080354025301784,1
BOB SAVINGS,TXN775510,68451.0,8,5,1,0.9025529066795667,0.5052523724478571,0.8264574661077416,0
ICICI CURRENT,TXN6586460,500000.0,8,6,1,0.9568008851264563,0.6767699044243033,0.48252094964264247,0
KOTAK SAVINGS,TXN3872811,11131.0,20,3,0,0.9461945428816902,0.7812960504712025,0.11346460201744801,1
HDFC SAVI,TXN5183769,38103.0,10,2,0,0.11706701642760586,0.14299168205283586,0.7615106317174722,0
KOTAK SAVINGS,TXN1432397,39082.0,8,1,0,0.8918969087767766,0.1466048216920255,0.5133261686923929,1
KOTAK SAVINGS,TXN1386643,40263.0,12,3,0,0.35021824670031354,0.7081811955831998,0.48166698796411533,1
ICICI CURRENT,TXN9237682,44483.0,12,4,0,0.4052020867814171,0.5714730252050106,0.7409738609106683,1
SBI SAVINGS,TXN5906466,61630.0,16,0,0,0.8685991281894603,0.22359583851945264,0.9632225394406113,1
KOTAK SAVINGS,TXN2325300,93397.0,10,3,0,0.07379656473539886,0.5538542844013208,0.969302535619099,1
SBI SAVINGS,TXN6650670,68867.0,15,6,1,0.04544638034145787,0.2809631895922303,0.9504114840765587,1
UNKNOWN,TXN260775,61530.0,7,1,0,0.22939474570494967,0.26593792496423896,0.36034509520526825,0
ICICI CURRENT,TXN4137776,55285.0,19,4,0,0.6847311725538793,0.1626169393448913,0.9109271844938425,1
HDFC SAVI,TXN675278,-100.0,23,5,1,0.8660638895004084,0.04521867010618941,0.026366974497252005,0
SBI SAVINGS,TXN4012942,62293.0,21,2,0,0.8421189231357087,0.8383287047111379,0.4686931597949703,1
SBI SAVINGS,TXN4997590,18385.0,4,6,1,0.7499107494699718,0.9131657522576428,0.585149532325472,1
HDFC SAVINGS,TXN5487408,38766.0,0,2,0,0.2747317970259088,0.20722764900805646,0.8782206674791923,1
HDFC SAVINGS,TXN1286887,58018.0,21,5,1,0.8313714900625012,0.3077772397710494,0.8163857352130623,1
ICICI CURR,TXN5265679,15255.0,14,4,0,0.6203095513534647,0.7040797680992236,0.21296416150891073,0
AXIS SAVINGS,ABC7053757,75746.0,19,0,0,0.5139894891598108,0.7836530127411431,0.39654278232127016,0
ICICI CURRENT,TXN3563351,19964.0,19,4,0,0.980032575285477,0.4926180939928696,0.3287516102875082,1
ICICI CURRENT,TXN8101482,24072.0,3,3,0,0.3456672833238632,0.8967884099060118,0.47396164026287235,1
HDFC SAVINGS,TXN5223122,87045.0,17,3,0,0.3476192144826835,0.03180468148516513,0.5487153092074086,1
AXIS SAVINGS,TXN4346049,91866.0,12,2,0,0.039312139841098936,0.7994103989090426,0.6279003894909078,1
ICICI CURRENT,ABC6601632,303.0,23,5,1,0.23611653311740433,0.7599554089375856,0.531265753973534,0
HDFC SAVINGS,TXN1407506,18031.0,22,5,1,0.7496162320085874,0.03047215273359416,0.8672149810747233,1
ICICI CURRENT,TXN9910404,1063.0,16,6,1,0.08920432871205619,0.5353355640155235,0.23321641154980122,1
SBI SAVINGS,TXN567010,26735.0,3,6,1,0.7368224753949129,0.5577422659504374,0.5865354346607591,1
HDFC SAVINGS,TXN5296467,34530.0,23,2,0,0.9865152487929797,0.6057748193568872,0.23722679173599448,1
AXIS SAVINGS,ABC6536446,24819.0,7,4,0,0.9823786169086064,0.11203890216805235,0.39785559904574164,0
UNKNOWN,TXN487952,13235.0,1,6,1,0.5350367320449105,0.476619484126412,0.8385825587026248,0
HDFC SAVINGS,TXN1337715,36977.0,11,6,1,0.7072300956444445,0.7677795014428388,0.08729017958967544,1
AXIS SAVINGS,TXN671650,59384.0,9,4,0,0.06337497047276774,0.9899602323899452,0.32235384497472297,1
SBI SAVING,TXN8212074,97830.0,22,2,0,0.3488682665429953,0.9295291442478258,0.8306194077877291,0
BOB SAVINGS,TXN3709736,73699.0,2,0,0,0.741120649290059,0.5744731131799119,0.8418287767582721,0
SBI SAVINGS,TXN4025282,19283.0,13,1,0,0.907866130462516,0.3161965822964946,0.5883066757950567,1
ICICI CURRENT,TXN3186176,18575.0,0,0,0,0.3553624518183959,0.3914821102015019,0.531857479688174,1
ICICI CURRENT,TXN8005477,150000.0,7,1,0,0.13927207266338726,0.794025189270296,0.6200727559285135,0
ICICI CURRENT,TXN5375034,67780.0,21,1,0,0.7624586857406905,0.8767656367617495,0.34208174871590746,1
UNKNOWN,TXN9928366,64773.0,14,3,0,0.7222525683930663,0.7200365365460744,0.6411476328852973,0
AXIS SAVINGS,TXN5997498,77835.0,9,5,1,0.22735098302998702,0.4235968624204829,0.2879296164757261,1
HDFC SAVINGS,TXN8614493,15329.0,14,3,0,0.5929629052588216,0.10221266422519959,0.9187505222607465,1
KOTAK SAVINGS,TXN938761,65311.0,8,5,1,0.07732106548878726,0.1042469660518095,0.8404396319804229,1
SBI SAVING,TXN2102324,47524.0,21,6,1,0.9208418826173723,0.8698963620621283,0.5188380571260721,0
KOTAK SAVINGS,TXN8956884,39225.0,20,1,0,0.3334991716911442,0.3981686935909433,0.5373956029379229,1
HDFC SAVI,TXN1681530,36369.0,10,2,0,0.4524395161326934,0.14085702037979986,0.1763869865062233,0
KOTAK SAVINGS,2045482,70481.0,19,0,0,0.14866272775311296,0.41462412372702373,0.08534966807864386,0
SBI SAVING,TXN5868927,92375.0,18,2,0,0.7997820220742694,0.349386999049333,0.46823182844137934,0
KOTAK SAVINGS,TXN6611634,64078.0,18,6,1,0.5276477301447858,0.5344558912572469,0.48108794838758595,1
ICICI CURRENT,TXN9723424,12343.0,6,2,0,0.37330931627975295,0.27074467314355377,0.6439995432390158,1
AXIS SAVINGS,TXN7549607,76535.0,2,6,1,0.6718927435987284,0.019710537754364155,0.10410858198457384,1
ICICI CURRENT,TXN-2794946,150000.0,15,3,0,0.9444097255772734,0.14108184877771357,0.406392308273522,0
HDFC SAVINGS,TXN6669632,53395.0,15,4,0,0.8764440758752938,0.6429255636142532,0.7039461351385095,1
BOB SAVINGS,TXN7018889,94915.0,22,6,1,0.26806364082287626,0.624148907849134,0.4094116521912404,0
HDFC SAVINGS,9121849,67643.0,13,6,1,0.7998552559473152,0.42521350446923345,0.022469308320117398,0
HDFC SAVINGS,TXN422918,17686.0,10,5,1,0.9844021807035521,0.5256901823026858,0.1716792858483035,1
ICICI CURRENT,TXN2520564,57385.0,5,1,0,0.5541780025157934,0.6514203883518642,0.8297418037072016,1
HDFC SAVINGS,TXN8539834,150000.0,7,1,0,0.6005168604336534,0.6650366745462555,0.1753712786234496,0
HDFC SAVI,TXN6027613,86146.0,21,2,0,0.1843709206789632,0.09033696057760787,0.7709859255354785,0
ICICI CURRENT,TXN976031,150000.0,6,2,0,0.9493067970577657,0.3966493730520543,0.9540869365396331,0
SBI SAVINGS,TXN3451278,67299.0,19,2,0,0.8464078493145573,0.955236312723479,0.15467214088323622,1
HDFC SAVINGS,TXN4047208,54913.0,10,1,0,0.4596815127611311,0.07593341036962209,0.07776534407895708,1
ICICI CURRENT,TXN1761793,91749.0,11,2,0,0.9173135754622428,0.1368186309189614,0.9502373538208024,1
AXIS SAVINGS,TXN8054647,12255.0,20,0,0,0.6587833667107174,0.6922765645178525,0.8491956515653193,1
SBI SAVINGS,TXN7697626,0.0,14,1,0,0.588263756969931,0.9993534995658349,0.5558065814371796,0
KOTAK SAVINGS,TXN5222930,-100.0,22,4,0,0.47421421665746377,0.8620426509893134,0.8445493985350704,0
HDFC SAVINGS,TXN7529645,35436.0,12,1,0,0.8849983565232811,0.5302651326349002,0.4410321617481616,1
SBI SAVINGS,TXN6537845,27346.0,0,4,0,0.6158631881823046,0.23295947475363377,0.02440078155653802,1
ICICI CURR,ABC6833215,500000.0,16,4,0,0.03759677320626087,0.47978132685650476,0.5807572072273277,0
SBI SAVINGS,TXN1959582,12677.0,0,5,1,0.003346362042979223,0.4673107665376526,0.2970028764548822,1
HDFC SAVI,TXN9759072,0.0,14,0,0,0.39163014054035605,0.12443755729685635,0.956415697559425,0
KOTAK SAVINGS,TXN8096198,29758.0,12,1,0,0.16703394609207523,0.9911686261369765,0.2316717013834434,1
BOB SAVINGS,TXN963561,82857.0,16,1,0,0.7795844735667533,0.3501252591667301,0.05784267656339637,0
SBI SAVING,TXN6946192,7658.0,2,1,0,0.49118634086862656,0.9963357758067243,0.8974361480462039,0
KOTAK SAVINGS,TXN7909006,34702.0,4,1,0,0.4574320977737073,0.3911697660803798,0.27295937485631494,1
ICICI CURRENT,TXN-4078702,150000.0,1,3,0,0.372688517012314,0.2597537837603262,0.7234201136885849,0
KOTAK SAVINGS,TXN8312420,-100.0,7,4,0,0.480586577326648,0.5924077846595176,0.8246809659251492,0
HDFC SAVINGS,TXN5303916,86232.0,18,3,0,0.8505817290942419,0.8672942009598024,0.7083629767150348,1
SBI SAVING,TXN455,49139.0,22,1,0,0.1288698674734452,0.3351188542591419,0.7435082562916078,0
AXIS SAVINGS,TXN3861675,87264.0,12,5,1,0.32643357650329297,0.5598443123088295,0.11584385678025766,1
KOTAK SAVINGS,TXN6593509,29258.0,8,1,0,0.3418721660386861,0.6326218931339481,0.9320281055100175,1
AXIS SAVINGS,TXN5781635,50193.0,11,5,1,0.7085720046026294,0.4735738884350885,0.05792046055879829,1
HDFC SAVINGS,TXN-2873707,21428.0,11,6,1,0.06562614457401295,0.821512947407441,0.3718335292387246,0
ICICI CURR,TXN2634937,13026.0,3,0,0,0.10219361969371898,0.854209774461566,0.5270240962118621,0
ICICI CURR,TXN1602337,52308.0,21,2,0,0.2732595269982093,0.9508635622504104,0.15105789178090023,0
KOTAK SAVINGS,TXN968,0.0,5,6,1,0.7458370120309643,0.20035914354871265,0.868122813490531,0
HDFC SAVINGS,TXN307,8712.0,14,2,0,0.8447832281168877,0.7610239909429989,0.6262203216314154,0
KOTAK SAVINGS,9010643,11537.0,11,3,0,0.4303058948994627,0.20052472670033672,0.4915945467414369,0
KOTAK SAVINGS,TXN3038199,29760.0,12,0,0,0.011620539908100636,0.07244688779455888,0.3924935564066848,1
ICICI CURRENT,TXN3310016,0.0,7,2,0,0.48050694725782894,0.10493017841817487,0.24204501586252747,0
UNKNOWN,TXN4630889,61682.0,0,1,0,0.5342422059764451,0.8825334858196,0.08250853444042128,0
HDFC SAVI,TXN3982149,50862.0,17,6,1,0.2001502442448101,0.16748258225906976,0.10456784033440025,0
ICICI CURRENT,6111142,-100.0,19,5,1,0.612257985881158,0.4843984475740406,0.6608201182992507,0
HDFC SAVINGS,TXN1968670,21289.0,9,5,1,0.08162998203058958,0.0603520839905638,0.24710323401014644,1
KOTAK SAVINGS,TXN3932978,500000.0,12,4,0,0.7896985071424791,0.6587077755008761,0.498195716453139,0
HDFC SAVINGS,TXN1317060,0.0,2,3,0,0.19954245092914513,0.6802282424312913,0.07219840897917584,0
SBI SAVINGS,TXN4760061,-100.0,23,3,0,0.6287648182059451,0.7353502986657526,0.7677238880667803,0
HDFC SAVINGS,TXN-4325889,26959.0,1,3,0,0.4217209268734554,0.2768277972350516,0.5923503285933622,0
UNKNOWN,TXN4262065,84879.0,0,2,0,0.7760002070354295,0.4053101830857434,0.6018553836620085,0
HDFC SAVINGS,TXN488076,50678.0,14,5,1,0.5148173539296902,0.3592333693997657,0.5929508514349274,1
ICICI CURRENT,TXN2713275,13761.0,7,3,0,0.13087366071834983,0.9698210450785447,0.45378954138363925,1
ICICI CURRENT,TXN1142377,76620.0,8,0,0,0.4494338352137377,0.5878843711103869,0.9485833548514337,1
AXIS SAVINGS,TXN398090,71653.0,11,4,0,0.7817903298450294,0.7053855941122036,0.44636864651258557,1
UNKNOWN,TXN1037841,0.0,4,3,0,0.05169683724152696,0.6400029668369137,0.22470117697268,0
ICICI CURRENT,TXN3140267,35058.0,23,2,0,0.004939980934409616,0.951811785423239,0.6391199378155004,1
ICICI CURR,TXN4373445,22912.0,12,3,0,0.7046807627366467,0.20185345212294836,0.6734324333249173,0
SBI SAVING,TXN900101,48321.0,22,6,1,0.9446142194740232,0.6832480282896458,0.4971747640084273,0
SBI SAVINGS,TXN5516775,30660.0,0,0,0,0.21567515239771717,0.6588854702326572,0.3938644056541585,1
HDFC SAVINGS,TXN5842533,60577.0,8,0,0,0.8707534503372591,0.7823854840582735,0.5670162609866678,1
AXIS SAVINGS,TXN2987698,73298.0,12,0,0,0.3171957167653986,0.868900625540571,0.3756722518817265,1
SBI SAVINGS,TXN5694176,9109.0,18,3,0,0.5484997216514768,0.5964854749854216,0.5456868884954734,1
HDFC SAVINGS,TXN2142823,60234.0,1,5,1,0.5004453091307415,0.5423636649797383,0.9514785596659912,1
UNKNOWN,TXN6130489,21637.0,1,4,0,0.24606965879799825,0.47669547504115917,0.3943653238183502,0
HDFC SAVINGS,TXN7413834,33175.0,10,6,1,0.8967142898401224,0.07128027005516391,0.9546600300333075,1
ICICI CURRENT,TXN3717556,37651.0,1,5,1,0.48587175918632564,0.25677656772050794,0.28487290196192283,1
AXIS SAVINGS,TXN4217923,12290.0,16,4,0,0.4135491015253515,0.12188609333694755,0.18114934953468032,1
HDFC SAVINGS,TXN4357950,18744.0,16,1,0,0.18522844654740966,0.9177524891713773,0.4245274251963619,1
SBI SAVINGS,TXN1555465,88205.0,22,5,1,0.8191888594267902,0.8842064633484078,0.22807977194893247,1
HDFC SAVINGS,TXN6102296,71832.0,15,0,0,0.23687055897448206,0.7805255152438618,0.2748060355481361,1
UNKNOWN,TXN4121080,81572.0,9,0,0,0.423944812913302,0.15298380082856267,0.2352355848019848,0
SBI SAVING,TXN8537712,68389.0,14,2,0,0.6070940360887808,0.54669741271407,0.23194709611597542,0
KOTAK SAVINGS,TXN5036600,150000.0,6,4,0,0.675841245087376,0.4427169667795271,0.44579091457722897,0
ICICI CURRENT,8116355,0.0,13,3,0,0.08565824959643054,0.8941908746641183,0.1918673247187429,0
ICICI CURRENT,TXN4410796,69250.0,4,3,0,0.23371208191043302,0.5400119146045106,0.8800790875614583,1
AXIS SAVINGS,TXN4268962,5250.0,22,3,0,0.6618391898493786,0.5577834173700249,0.7306505102392461,1
AXIS SAVINGS,TXN3227748,10527.0,14,0,0,0.17047793817391754,0.4094778530052039,0.42268911339618953,1
UNKNOWN,TXN3747371,150000.0,15,5,1,0.23464208185545354,0.39931591580930814,0.15241601333041743,0
UNKNOWN,TXN6227764,56274.0,7,6,1,0.8646861920335402,0.6084864126597913,0.5068384318204826,0
KOTAK SAVINGS,TXN3513654,84329.0,20,1,0,0.9369578230310628,0.5538022407123763,0.30552431065802355,1
HDFC SAVINGS,TXN333782,90518.0,10,6,1,0.9921580148233127,0.8514249577450957,0.2085105143573358,1
HDFC SAVI,TXN7474626,45034.0,13,5,1,0.1412780492755058,0.21198249090223853,0.8187350040742701,0
ICICI CURRENT,TXN4215362,55250.0,9,0,0,0.5751633504966249,0.4793544401378518,0.31372769119409605,1
SBI SAVINGS,TXN5285773,11139.0,2,0,0,0.8252007674155681,0.6663068858350397,0.12176191112527479,1
AXIS SAVINGS,TXN9452771,89100.0,12,6,1,0.5061418628402441,0.4395116886329101,0.10566468426174391,1
KOTAK SAVINGS,TXN4354849,72147.0,18,4,0,0.7807615860684398,0.4598004237693202,0.05816379550547579,1
BOB SAVINGS,TXN2161774,150000.0,8,2,0,0.07462981433708171,0.7826960407441492,0.2653874091881946,0
AXIS SAVINGS,TXN1719715,0.0,4,6,1,0.22080262978563914,0.1737525956622945,0.6557236725616563,0
HDFC SAVI,TXN2530525,80355.0,6,2,0,0.41412975252892703,0.8275378955668743,0.733614380561402,0
HDFC SAVINGS,TXN2727988,73295.0,20,1,0,0.6809748272382445,0.1896948481746772,0.6189481930077215,1
HDFC SAVINGS,TXN3346417,672.0,3,0,0,0.1097361986775035,0.547959488973693,0.4543773345599609,1
BOB SAVINGS,TXN7019875,37488.0,17,2,0,0.37588828514576933,0.3944762785700353,0.45944676840598664,0
KOTAK SAVINGS,TXN2621279,33161.0,8,0,0,0.8088834616363281,0.07641685943805143,0.2793677139347164,1
UNKNOWN,TXN4023227,92962.0,7,2,0,0.45012443241975963,0.22696469436536415,0.8893909161288442,0
KOTAK SAVINGS,TXN2261088,41992.0,12,0,0,0.7462072574818386,0.6590355342036808,0.8021305581275875,1
SBI SAVINGS,4764455,500000.0,14,2,0,0.6613706110704144,0.18519556786746794,0.17410933533408435,0
HDFC SAVINGS,TXN703103,23889.0,7,0,0,0.9759908495987925,0.6673503980464284,0.010427699397403067,1
AXIS SAVINGS,TXN7370518,57714.0,9,4,0,0.12523357043282712,0.4743361099062139,0.11395663471431716,1
AXIS SAVINGS,TXN3393705,58280.0,17,6,1,0.09501169899230466,0.3759928899413114,0.550091940458156,1
HDFC SAVINGS,ABC963403,61333.0,2,1,0,0.8159469389686173,0.861369996363436,0.846514338690278,0
HDFC SAVI,TXN7980317,23912.0,13,6,1,0.18059459817530088,0.053858206998026126,0.32005983252098347,0
SBI SAVINGS,ABC3331185,48690.0,14,2,0,0.15067610770987738,0.3423836360335465,0.41341644929526145,0
SBI SAVINGS,TXN2992478,81943.0,6,3,0,0.6362913539792481,0.761121537043158,0.160071634954573,1
SBI SAVINGS,TXN2498083,21728.0,9,1,0,0.20403563462889884,0.5550849493022862,0.7330712960296748,1
ICICI CURRENT,TXN1216271,84900.0,21,1,0,0.7609907600280938,0.03531135494023907,0.7457337827312321,1
HDFC SAVINGS,TXN2035090,54342.0,23,2,0,0.9963343376272473,0.36830953050684834,0.44861063095454257,1
ICICI CURRENT,TXN8174037,59797.0,9,5,1,0.16688511785487092,0.18131927992550523,0.3876735947503942,1
AXIS SAVINGS,TXN3314850,23226.0,22,3,0,0.5606600944161709,0.6034876665964548,0.6764679372263622,1
UNKNOWN,TXN9385424,55507.0,21,4,0,0.7459252088136745,0.9819691904461453,0.20984199485640942,0
ICICI CURR,TXN5610493,76257.0,17,6,1,0.22061195271121126,0.5982252940637388,0.7356631142391898,0
UNKNOWN,TXN6993728,34052.0,19,6,1,0.11833619092338732,0.40990488969628824,0.8398022856356172,0
SBI SAVINGS,TXN936,97910.0,12,5,1,0.5180787662388154,0.29872557358877305,0.9406792451153405,0
HDFC SAVINGS,TXN448,26202.0,3,5,1,0.7279393069737652,0.49646115235529975,0.43685070261517955,0
SBI SAVINGS,TXN3751387,7737.0,19,0,0,0.956614621083458,0.06895801635642118,0.05705472115125432,1
AXIS SAVINGS,TXN9440854,-100.0,15,5,1,0.4288868788610386,0.8447894362860214,0.2681390200955134,0
AXIS SAVINGS,TXN758003,50027.0,20,3,0,0.315189521097359,0.7718577261816213,0.08642461076254648,1
ICICI CURRENT,TXN754,-100.0,4,2,0,0.7251557275511148,0.191190701464789,0.3382631053323484,0
KOTAK SAVINGS,TXN8046232,6305.0,17,4,0,0.2253169299512351,0.250966661340298,0.8506160578411378,1
SBI SAVINGS,ABC7118523,44630.0,16,0,0,0.6129001608619492,0.22614705158994075,0.8469187280885598,0
KOTAK SAVINGS,TXN-5932801,12925.0,6,5,1,0.2905875598063551,0.7869701349176663,0.11193592702153032,0
ICICI CURRENT,TXN4918750,63879.0,20,3,0,0.5448477590845157,0.7584250178691111,0.754107680316164,1
KOTAK SAVINGS,TXN6385939,56701.0,8,1,0,0.7507295069993472,0.5579807387826399,0.5525136147827252,1
ICICI CURRENT,1443945,26391.0,17,2,0,0.7756118509253275,0.9644766539008116,0.2037664591276891,0
AXIS SAVINGS,TXN7701748,21385.0,14,6,1,0.9150900684070432,0.53302886724614,0.157954822835348,1
AXIS SAVINGS,TXN924143,65795.0,17,2,0,0.9835214727152221,0.14071152804875842,0.20201566840248997,1
KOTAK SAVINGS,TXN379215,67844.0,5,5,1,0.08346408498938329,0.8824163684073387,0.8036035354415352,1
SBI SAVINGS,TXN5855892,56482.0,3,3,0,0.881927758304644,0.42748968792061515,0.16223340578247936,1
SBI SAVINGS,TXN8777571,24218.0,4,2,0,0.18741194409758222,0.858177053157164,0.8190635138616561,1
ICICI CURRENT,TXN5788238,18889.0,20,1,0,0.8192551048714611,0.8798219139516953,0.5254349125456929,1
AXIS SAVINGS,TXN1506368,18100.0,1,0,0,0.7396713007267637,0.1912604179145867,0.613777418815699,1
SBI SAVINGS,TXN394746,58068.0,15,1,0,0.325104015431699,0.6863271966860974,0.06964114816240574,1
SBI SAVINGS,TXN4840039,90752.0,2,3,0,0.866386514251342,0.21552986879133185,0.36037781993034756,1
SBI SAVINGS,TXN3617741,55268.0,11,0,0,0.7660647765353026,0.7884473432532987,0.6649849034759953,1
SBI SAVINGS,8932310,2598.0,13,3,0,0.3816119398672001,0.12884871200025483,0.41276112926602604,0
ICICI CURR,TXN7070199,34519.0,21,0,0,0.29221823046189777,0.9107701616439152,0.7539619035967839,0
UNKNOWN,TXN-373146,78611.0,14,3,0,0.11258039041193701,0.7036859774607958,0.5406984766449103,0
SBI SAVINGS,TXN177175,46734.0,10,4,0,0.2972378077086172,0.2999191115069847,0.7431931987316034,1
AXIS SAVINGS,ABC7304776,23568.0,16,5,1,0.4291825933963569,0.26777667548833417,0.7891608465887314,0
KOTAK SAVINGS,TXN6436356,16289.0,20,4,0,0.5252397575201602,0.032645677545668605,0.8685515063202888,1
SBI SAVINGS,TXN3277902,6582.0,11,5,1,0.7738796557301564,0.6019234310151316,0.8925232899548461,1
KOTAK SAVINGS,TXN8060339,78003.0,3,6,1,0.5123637775457907,0.10422480280834767,0.38451132764481255,1
AXIS SAVINGS,2034586,93906.0,16,4,0,0.47249335500651357,0.045648745502383736,0.14002409755331768,0
SBI SAVINGS,TXN1453324,95656.0,13,2,0,0.4474681413224578,0.4742884204312605,0.5908674412710415,1
SBI SAVINGS,TXN1469277,94612.0,0,1,0,0.46285195501585064,0.4385384885374355,0.2185098343541303,1
SBI SAVINGS,TXN5061828,33624.0,20,2,0,0.87986267736116,0.5747795542644152,0.029668223064739818,1
ICICI CURRENT,TXN5657805,44200.0,11,2,0,0.41102107526554577,0.9076110025565549,0.7140326444668564,1
SBI SAVINGS,TXN8412934,0.0,7,0,0,0.636401370183407,0.051135381442100725,0.25760722033372185,0
AXIS SAVINGS,TXN5281377,3745.0,3,1,0,0.09228479207325724,0.5963215188603683,0.5495836567221436,1
UNKNOWN,TXN1472070,36637.0,8,1,0,0.36191999083786497,0.5936607912085384,0.010131184027743378,0
SBI SAVINGS,TXN5755635,62069.0,1,4,0,0.06644384435577488,0.5339674725477638,0.14213712379345766,1
AXIS SAVINGS,TXN7081440,67535.0,4,4,0,0.8080226299065529,0.2160513650116872,0.46660778469721587,1
UNKNOWN,TXN1297162,36269.0,22,0,0,0.3063134987782127,0.7889851599207933,0.4464195164015822,0
ICICI CURRENT,TXN5002059,150000.0,15,1,0,0.37005233467425525,0.027420309972657653,0.39297422534529125,0
HDFC SAVINGS,TXN3715652,39333.0,23,0,0,0.3458774607378574,0.15445974722332378,0.025447759905750877,1
AXIS SAVINGS,TXN6110334,47499.0,16,0,0,0.6771206397350094,0.6057792494526903,0.36459372819754,1
AXIS SAVINGS,TXN3425315,42418.0,4,5,1,0.027536719869465487,0.50545511791045,0.9640174071177023,1
